chart,Time,close,num,ShaHighSD,ShaLowSD,,ShaHighUSD,ShaLowUSD
EURUSD,2019.08.09 22:00:00,1.12024,1,0,0,,1.999999999990898e-05,4.000000000004e-05
EURUSD,2019.08.09 21:00:00,1.12063,2,8.999999999992347e-05,8.000000000008001e-05,,0,0
EURUSD,2019.08.09 20:00:00,1.12037,3,0,0,,8.000000000008001e-05,0.0001499999999998725
EURUSD,2019.08.09 19:00:00,1.12106,4,0,0,,0.0006699999999999484,0.0001499999999998725
EURUSD,2019.08.09 18:00:00,1.1221,5,0,9.999999999998899e-05,,0,0
EURUSD,2019.08.09 17:00:00,1.12001,6,0.000320000000000098,0.0004899999999998794,,0,0
EURUSD,2019.08.09 16:00:00,1.11925,7,0,0,,0.000140000000000029,0.0001899999999999125
EURUSD,2019.08.09 15:00:00,1.12012,8,0,0,,0.0006500000000000394,0.00012000000000012
EURUSD,2019.08.09 14:00:00,1.12029,9,0,0,,0.0007999999999999119,4.000000000004e-05
EURUSD,2019.08.09 13:00:00,1.12049,10,0.000259999999999927,0.0008099999999999774,,0,0
EURUSD,2019.08.09 12:00:00,1.12034,11,0.0002900000000001235,7.00000000000145e-05,,0,0
EURUSD,2019.08.09 11:00:00,1.11936,12,0.0004100000000000215,0.000420000000000087,,0,0
EURUSD,2019.08.09 10:00:00,1.11869,13,0.00103999999999993,0.0002699999999999925,,0,0
EURUSD,2019.08.09 09:00:00,1.11862,14,0,0,,0.0001799999999998469,0.00012000000000012
EURUSD,2019.08.09 08:00:00,1.11959,15,0.000159999999999938,0,,0,0
EURUSD,2019.08.09 07:00:00,1.11941,16,0,0,,0.000159999999999938,5.999999999994898e-05
EURUSD,2019.08.09 06:00:00,1.11956,17,2.999999999997449e-05,0.0002100000000000435,,0,0
EURUSD,2019.08.09 05:00:00,1.11958,18,7.00000000000145e-05,0.000140000000000029,,0,0
EURUSD,2019.08.09 04:00:00,1.11938,19,0.0002899999999999014,0.0003100000000000325,,0,0
EURUSD,2019.08.09 03:00:00,1.11922,20,0.0001899999999999125,0.0001100000000000545,,0,0
EURUSD,2019.08.09 02:00:00,1.11857,21,0.0003199999999998759,2.999999999997449e-05,,0,0
EURUSD,2019.08.09 01:00:00,1.11851,22,0,0,,9.999999999843467e-06,5.999999999994898e-05
