chart,Time,close,num,ShaHighSD,ShaLowSD,,ShaHighUSD,ShaLowUSD
EURUSD,2019.08.09 23:30:00,1.12021,1,0,0.000159999999999938,,0,0
EURUSD,2019.08.09 23:15:00,1.12019,2,2.999999999997449e-05,2.999999999997449e-05,,0,0
EURUSD,2019.08.09 23:00:00,1.12007,3,0,0,,1.999999999990898e-05,1.999999999990898e-05
EURUSD,2019.08.09 22:45:00,1.12024,4,0,0,,1.999999999990898e-05,0.000119999999999898
EURUSD,2019.08.09 22:30:00,1.12044,5,0,0,,0.00016000000000016,9.999999999998899e-05
EURUSD,2019.08.09 22:15:00,1.1206,6,7.999999999985796e-05,0.000119999999999898,,0,0
EURUSD,2019.08.09 22:00:00,1.12058,7,0,0,,0.0002299999999999525,0
EURUSD,2019.08.09 21:45:00,1.12063,8,2.999999999997449e-05,5.000000000010552e-05,,0,0
EURUSD,2019.08.09 21:30:00,1.12045,9,0.0001500000000000945,8.000000000008001e-05,,0,0
EURUSD,2019.08.09 21:15:00,1.1204,10,0,0,,0.0001100000000000545,8.999999999992347e-05
EURUSD,2019.08.09 21:00:00,1.12048,11,0.000240000000000018,3.000000000019654e-05,,0,0
EURUSD,2019.08.09 20:45:00,1.12037,12,0,0,,1.000000000006551e-05,0.0002699999999999925
EURUSD,2019.08.09 20:30:00,1.12058,13,0.0001500000000000945,5.999999999994898e-05,,0,0
EURUSD,2019.08.09 20:15:00,1.12054,14,0.0002299999999999525,0.000199999999999978,,0,0
EURUSD,2019.08.09 20:00:00,1.12047,15,0,0,,0.000180000000000069,0.0001499999999998725
EURUSD,2019.08.09 19:45:00,1.12106,16,0,0,,0.0006699999999999484,8.999999999992347e-05
EURUSD,2019.08.09 19:30:00,1.12133,17,0,0,,1.999999999990898e-05,7.00000000000145e-05
EURUSD,2019.08.09 19:15:00,1.12179,18,0.0004599999999999049,1.999999999990898e-05,,0,0
EURUSD,2019.08.09 19:00:00,1.12139,19,0,0,,2.000000000013102e-05,1.999999999990898e-05
EURUSD,2019.08.09 18:45:00,1.1221,20,0,0.0004699999999999704,,0,0
EURUSD,2019.08.09 18:30:00,1.12158,21,0,0,,0.0006500000000000394,0.00012000000000012
EURUSD,2019.08.09 18:15:00,1.12165,22,4.999999999988347e-05,1.999999999990898e-05,,0,0
EURUSD,2019.08.09 18:00:00,1.12022,23,0.0001299999999999635,9.999999999998899e-05,,0,0
EURUSD,2019.08.09 17:45:00,1.12001,24,0.000240000000000018,0.00112000000000001,,0,0
EURUSD,2019.08.09 17:30:00,1.11991,25,0.000420000000000087,0.0003699999999999815,,0,0
EURUSD,2019.08.09 17:15:00,1.11989,26,0,8.999999999992347e-05,,0,0
EURUSD,2019.08.09 17:00:00,1.11927,27,0.000199999999999978,0.0004899999999998794,,0,0
EURUSD,2019.08.09 16:45:00,1.11925,28,0,0,,0.000140000000000029,0.0003899999999998904
EURUSD,2019.08.09 16:30:00,1.11929,29,0,0,,0.0001700000000000035,9.000000000014552e-05
EURUSD,2019.08.09 16:15:00,1.11998,30,0,0,,0.0003599999999999159,0.00012000000000012
EURUSD,2019.08.09 16:00:00,1.12001,31,0,0,,7.999999999985796e-05,0.0001899999999999125
EURUSD,2019.08.09 15:45:00,1.12012,32,0,0,,0.000119999999999898,0.000159999999999938
EURUSD,2019.08.09 15:30:00,1.12019,33,0.0002100000000000435,2.999999999997449e-05,,0,0
EURUSD,2019.08.09 15:15:00,1.11969,34,0,0,,0.000220000000000109,0.0001899999999999125
EURUSD,2019.08.09 15:00:00,1.11977,35,0,0,,2.999999999997449e-05,0.0001100000000000545
EURUSD,2019.08.09 14:45:00,1.12029,36,4.999999999988347e-05,0.0002499999999998614,,0,0
EURUSD,2019.08.09 14:30:00,1.11973,37,0,0,,5.999999999994898e-05,0.000480000000000036
EURUSD,2019.08.09 14:15:00,1.12007,38,0,0,,9.999999999998899e-05,6.000000000017103e-05
EURUSD,2019.08.09 14:00:00,1.12025,39,0,0,,0.0004100000000000215,9.999999999843467e-06
EURUSD,2019.08.09 13:45:00,1.12049,40,0,0,,0.0001500000000000945,2.999999999997449e-05
EURUSD,2019.08.09 13:30:00,1.12072,41,0,1.999999999990898e-05,,0,0
EURUSD,2019.08.09 13:15:00,1.11982,42,0,0,,0.0002900000000001235,2.999999999997449e-05
EURUSD,2019.08.09 13:00:00,1.12003,43,0,0,,2.999999999997449e-05,0.000100000000000211
EURUSD,2019.08.09 12:45:00,1.12034,44,0.0002900000000001235,2.999999999997449e-05,,0,0
EURUSD,2019.08.09 12:30:00,1.12022,45,0.000340000000000007,9.999999999843467e-06,,0,0
EURUSD,2019.08.09 12:15:00,1.11998,46,2.000000000013102e-05,0.000240000000000018,,0,0
EURUSD,2019.08.09 12:00:00,1.11983,47,0.000159999999999938,7.00000000000145e-05,,0,0
EURUSD,2019.08.09 11:45:00,1.11936,48,0.0004100000000000215,8.999999999992347e-05,,0,0
EURUSD,2019.08.09 11:30:00,1.11916,49,0,0.0002699999999999925,,0,0
EURUSD,2019.08.09 11:15:00,1.11878,50,1.999999999990898e-05,5.999999999994898e-05,,0,0
EURUSD,2019.08.09 11:00:00,1.11834,51,0,0,,5.999999999994898e-05,7.00000000000145e-05
EURUSD,2019.08.09 10:45:00,1.11869,52,0,0,,0.000340000000000007,8.000000000008001e-05
EURUSD,2019.08.09 10:30:00,1.11911,53,5.999999999994898e-05,0.0006500000000000394,,0,0
EURUSD,2019.08.09 10:15:00,1.11906,54,0,0,,1.999999999990898e-05,0.000199999999999978
EURUSD,2019.08.09 10:00:00,1.11955,55,1.000000000006551e-05,0,,0,0
EURUSD,2019.08.09 09:45:00,1.11862,56,0.0003999999999999559,0.0001299999999999635,,0,0
EURUSD,2019.08.09 09:30:00,1.1186,57,0,0,,0.000159999999999938,0.0002699999999999925
EURUSD,2019.08.09 09:15:00,1.11868,58,0,0,,1.999999999990898e-05,1.999999999990898e-05
EURUSD,2019.08.09 09:00:00,1.11933,59,0,0,,0.0001899999999999125,0.00012000000000012
EURUSD,2019.08.09 08:45:00,1.11959,60,0.000159999999999938,1.000000000006551e-05,,0,0
EURUSD,2019.08.09 08:30:00,1.11955,61,0,0,,1.000000000006551e-05,7.999999999985796e-05
EURUSD,2019.08.09 08:15:00,1.11965,62,7.999999999985796e-05,0,,0,0
EURUSD,2019.08.09 08:00:00,1.11959,63,7.999999999985796e-05,0,,0,0
EURUSD,2019.08.09 07:45:00,1.11941,64,0,0,,5.999999999994898e-05,8.000000000008001e-05
EURUSD,2019.08.09 07:30:00,1.11947,65,0,4.999999999988347e-05,,0,0
EURUSD,2019.08.09 07:15:00,1.11931,66,0,0,,1.000000000006551e-05,4.000000000004e-05
EURUSD,2019.08.09 07:00:00,1.11955,67,5.999999999994898e-05,5.000000000010552e-05,,0,0
EURUSD,2019.08.09 06:45:00,1.11956,68,1.999999999990898e-05,1.999999999990898e-05,,0,0
EURUSD,2019.08.09 06:30:00,1.11945,69,8.999999999992347e-05,7.999999999985796e-05,,0,0
EURUSD,2019.08.09 06:15:00,1.11943,70,0,0,,2.999999999997449e-05,9.000000000014552e-05
EURUSD,2019.08.09 06:00:00,1.11951,71,0,0,,0.000119999999999898,0
EURUSD,2019.08.09 05:45:00,1.11958,72,0,1.000000000006551e-05,,0,0
EURUSD,2019.08.09 05:30:00,1.11934,73,0,0,,8.999999999992347e-05,0
EURUSD,2019.08.09 05:15:00,1.11945,74,0,0,,0,0.000140000000000029
EURUSD,2019.08.09 05:00:00,1.11949,75,1.999999999990898e-05,7.00000000000145e-05,,0,0
EURUSD,2019.08.09 04:45:00,1.11938,76,0,0,,2.000000000013102e-05,0.000140000000000029
EURUSD,2019.08.09 04:30:00,1.11952,77,8.999999999992347e-05,5.000000000010552e-05,,0,0
EURUSD,2019.08.09 04:15:00,1.11906,78,0,0,,9.999999999998899e-05,0.000140000000000029
EURUSD,2019.08.09 04:00:00,1.11922,79,0,0,,0.000300000000000189,2.000000000013102e-05
EURUSD,2019.08.09 03:45:00,1.11922,80,0.0001899999999999125,1.000000000006551e-05,,0,0
EURUSD,2019.08.09 03:30:00,1.1191,81,1.999999999990898e-05,0.0001099999999998325,,0,0
EURUSD,2019.08.09 03:15:00,1.11902,82,0,1.999999999990898e-05,,0,0
EURUSD,2019.08.09 03:00:00,1.11847,83,0,0,,0,0.0002699999999999925
EURUSD,2019.08.09 02:45:00,1.11857,84,0,0,,0,0
EURUSD,2019.08.09 02:30:00,1.11879,85,9.999999999998899e-05,0,,0,0
EURUSD,2019.08.09 02:15:00,1.11864,86,5.999999999994898e-05,2.999999999997449e-05,,0,0
EURUSD,2019.08.09 02:00:00,1.11861,87,7.999999999985796e-05,2.999999999997449e-05,,0,0
EURUSD,2019.08.09 01:45:00,1.11851,88,0,0,,9.999999999843467e-06,5.000000000010552e-05
EURUSD,2019.08.09 01:30:00,1.11859,89,0,0,,8.999999999992347e-05,7.00000000000145e-05
EURUSD,2019.08.09 01:15:00,1.1186,90,0,0,,9.000000000014552e-05,2.999999999997449e-05
EURUSD,2019.08.09 01:00:00,1.11865,91,0,0,,7.00000000000145e-05,5.999999999994898e-05
EURUSD,2019.08.09 00:45:00,1.11924,92,5.999999999994898e-05,4.000000000004e-05,,0,0
EURUSD,2019.08.09 00:30:00,1.11912,93,0,1.000000000006551e-05,,0,0
EURUSD,2019.08.09 00:15:00,1.11907,94,0.0001500000000000945,0.0003199999999998759,,0,0
EURUSD,2019.08.09 00:00:00,1.1188,95,2.999999999997449e-05,4.999999999988347e-05,,0,0
EURUSD,2019.08.08 23:45:00,1.11789,96,0,0,,0.000280000000000058,0
EURUSD,2019.08.08 23:30:00,1.11809,97,0,0,,0.000140000000000029,0.0001300000000001855
EURUSD,2019.08.08 23:15:00,1.11813,98,0,0,,8.000000000008001e-05,5.000000000010552e-05
EURUSD,2019.08.08 23:00:00,1.11817,99,0,0,,9.000000000014552e-05,0
EURUSD,2019.08.08 22:45:00,1.11866,100,5.000000000010552e-05,0.000180000000000069,,0,0
EURUSD,2019.08.08 22:30:00,1.11863,101,0,0,,1.999999999990898e-05,7.00000000000145e-05
EURUSD,2019.08.08 22:15:00,1.11922,102,7.999999999985796e-05,0.000159999999999938,,0,0
EURUSD,2019.08.08 22:00:00,1.1192,103,0,2.999999999997449e-05,,0,0
EURUSD,2019.08.08 21:45:00,1.11851,104,0,0,,0.0002099999999998214,0.0004099999999997994
EURUSD,2019.08.08 21:30:00,1.1186,105,0,0.0002499999999998614,,0,0
EURUSD,2019.08.08 21:15:00,1.11846,106,0,0,,8.999999999992347e-05,8.000000000008001e-05
EURUSD,2019.08.08 21:00:00,1.1191,107,0,0,,0.0001299999999999635,0.000460000000000127
EURUSD,2019.08.08 20:45:00,1.11997,108,0,0,,0.000119999999999898,0.000320000000000098
EURUSD,2019.08.08 20:30:00,1.12067,109,9.999999999998899e-05,0.000299999999999967,,0,0
EURUSD,2019.08.08 20:15:00,1.12068,110,0.000140000000000029,0.0002299999999999525,,0,0
EURUSD,2019.08.08 20:00:00,1.12067,111,0.0002799999999998359,0.0001500000000000945,,0,0
EURUSD,2019.08.08 19:45:00,1.12044,112,0,0,,0.000100000000000211,2.000000000013102e-05
EURUSD,2019.08.08 19:30:00,1.12111,113,0.0004699999999999704,4.999999999988347e-05,,0,0
EURUSD,2019.08.08 19:15:00,1.12082,114,0,0,,0.000159999999999938,0.000340000000000007
EURUSD,2019.08.08 19:00:00,1.12091,115,0.0003499999999998504,0.0001500000000000945,,0,0
EURUSD,2019.08.08 18:45:00,1.12064,116,0,0,,9.999999999998899e-05,8.000000000008001e-05
EURUSD,2019.08.08 18:30:00,1.12113,117,0.0002100000000000435,0.0003299999999999415,,0,0
EURUSD,2019.08.08 18:15:00,1.1211,118,0,0,,1.000000000006551e-05,0.000460000000000127
EURUSD,2019.08.08 18:00:00,1.12143,119,0.0002500000000000835,0,,0,0
EURUSD,2019.08.08 17:45:00,1.1199,120,0,0,,0.0006299999999999084,0.0003499999999998504
EURUSD,2019.08.08 17:30:00,1.11994,121,0.003270000000000106,0.000219999999999887,,0,0
EURUSD,2019.08.08 17:15:00,1.11988,122,0,0,,0.0002699999999999925,0.000199999999999978
EURUSD,2019.08.08 17:00:00,1.1201,123,0.0001399999999998069,0.000199999999999978,,0,0
EURUSD,2019.08.08 16:45:00,1.11964,124,0,0,,0.0009699999999999154,8.999999999992347e-05
EURUSD,2019.08.08 16:30:00,1.12019,125,0.0003999999999999559,7.999999999985796e-05,,0,0
EURUSD,2019.08.08 16:15:00,1.11911,126,0,0,,5.999999999994898e-05,0.000480000000000036
EURUSD,2019.08.08 16:00:00,1.12111,127,0.001269999999999882,0.0005399999999999849,,0,0
EURUSD,2019.08.08 15:45:00,1.12037,128,7.999999999985796e-05,0.0006099999999999994,,0,0
EURUSD,2019.08.08 15:30:00,1.11868,129,0,0,,7.999999999985796e-05,8.999999999992347e-05
EURUSD,2019.08.08 15:15:00,1.11908,130,0,0,,0.0001900000000001345,0.0001099999999998325
EURUSD,2019.08.08 15:00:00,1.11926,131,0,2.999999999997449e-05,,0,0
EURUSD,2019.08.08 14:45:00,1.11875,132,0,0,,0.000199999999999978,2.999999999997449e-05
EURUSD,2019.08.08 14:30:00,1.1191,133,0,0,,1.000000000006551e-05,9.999999999843467e-06
EURUSD,2019.08.08 14:15:00,1.12031,134,7.00000000000145e-05,0.000240000000000018,,0,0
EURUSD,2019.08.08 14:00:00,1.12016,135,0.0001100000000000545,0.000500000000000167,,0,0
EURUSD,2019.08.08 13:45:00,1.12001,136,0,0,,1.999999999990898e-05,6.999999999979245e-05
EURUSD,2019.08.08 13:30:00,1.12044,137,0,0,,3.000000000019654e-05,7.00000000000145e-05
EURUSD,2019.08.08 13:15:00,1.12078,138,0,0,,0.0001500000000000945,0.0001100000000000545
EURUSD,2019.08.08 13:00:00,1.12087,139,0,0,,0.0001900000000001345,2.000000000013102e-05
EURUSD,2019.08.08 12:45:00,1.12112,140,0,0,,0.0001299999999999635,8.999999999992347e-05
EURUSD,2019.08.08 12:30:00,1.12127,141,0,0,,0.000280000000000058,9.999999999998899e-05
EURUSD,2019.08.08 12:15:00,1.12161,142,0,0,,0.0002100000000000435,0.000340000000000007
EURUSD,2019.08.08 12:00:00,1.12165,143,1.000000000006551e-05,0.0002900000000001235,,0,0
EURUSD,2019.08.08 11:45:00,1.12141,144,0,0,,5.000000000010552e-05,1.000000000006551e-05
EURUSD,2019.08.08 11:30:00,1.12209,145,0,0,,0.00012000000000012,0.0001499999999998725
EURUSD,2019.08.08 11:15:00,1.12253,146,0.0001899999999999125,0,,0,0
EURUSD,2019.08.08 11:00:00,1.12191,147,2.000000000013102e-05,0.000299999999999967,,0,0
EURUSD,2019.08.08 10:45:00,1.12169,148,0.0001700000000000035,0.0001799999999998469,,0,0
EURUSD,2019.08.08 10:30:00,1.12166,149,0.000119999999999898,0.000240000000000018,,0,0
EURUSD,2019.08.08 10:15:00,1.1216,150,0.0003300000000001635,5.999999999994898e-05,,0,0
EURUSD,2019.08.08 10:00:00,1.12144,151,7.00000000000145e-05,0.0004300000000001525,,0,0
EURUSD,2019.08.08 09:45:00,1.12061,152,8.999999999992347e-05,0.0005199999999998539,,0,0
EURUSD,2019.08.08 09:30:00,1.12052,153,0.000199999999999978,0.0001399999999998069,,0,0
EURUSD,2019.08.08 09:15:00,1.12035,154,0,0,,5.999999999994898e-05,1.000000000006551e-05
EURUSD,2019.08.08 09:00:00,1.12126,155,0.0002500000000000835,0.0003599999999999159,,0,0
EURUSD,2019.08.08 08:45:00,1.12117,156,7.00000000000145e-05,0.0001099999999998325,,0,0
EURUSD,2019.08.08 08:30:00,1.1209,157,0,0,,0.000119999999999898,1.999999999990898e-05
EURUSD,2019.08.08 08:15:00,1.12092,158,8.000000000008001e-05,4.000000000004e-05,,0,0
EURUSD,2019.08.08 08:00:00,1.12089,159,0,0,,7.00000000000145e-05,9.999999999998899e-05
EURUSD,2019.08.08 07:45:00,1.12091,160,0,0,,4.000000000004e-05,9.999999999998899e-05
EURUSD,2019.08.08 07:30:00,1.12101,161,2.999999999997449e-05,0.0001799999999998469,,0,0
EURUSD,2019.08.08 07:15:00,1.12098,162,8.999999999992347e-05,3.999999999981796e-05,,0,0
EURUSD,2019.08.08 07:00:00,1.12094,163,0,0,,2.999999999997449e-05,8.999999999992347e-05
EURUSD,2019.08.08 06:45:00,1.12099,164,5.000000000010552e-05,1.000000000006551e-05,,0,0
EURUSD,2019.08.08 06:30:00,1.12079,165,0,0,,1.999999999990898e-05,5.000000000010552e-05
EURUSD,2019.08.08 06:15:00,1.12103,166,5.999999999994898e-05,2.999999999997449e-05,,0,0
EURUSD,2019.08.08 06:00:00,1.12093,167,0,0,,0.000119999999999898,0.0001500000000000945
EURUSD,2019.08.08 05:45:00,1.12095,168,0,0,,7.999999999985796e-05,0.000119999999999898
EURUSD,2019.08.08 05:30:00,1.12096,169,2.000000000013102e-05,0.0001700000000000035,,0,0
EURUSD,2019.08.08 05:15:00,1.12082,170,0,0,,1.999999999990898e-05,8.999999999992347e-05
EURUSD,2019.08.08 05:00:00,1.1211,171,1.999999999990898e-05,0,,0,0
EURUSD,2019.08.08 04:45:00,1.12067,172,0,0,,5.000000000010552e-05,9.999999999998899e-05
EURUSD,2019.08.08 04:30:00,1.12083,173,0.000159999999999938,0.0001299999999999635,,0,0
EURUSD,2019.08.08 04:15:00,1.1207,174,0,0,,0.0006500000000000394,0.0001100000000000545
EURUSD,2019.08.08 04:00:00,1.1208,175,0,0,,0.0001700000000000035,0.000199999999999978
EURUSD,2019.08.08 03:45:00,1.12097,176,0,0,,0.000240000000000018,0.0001300000000001855
EURUSD,2019.08.08 03:30:00,1.12102,177,0.0001700000000000035,9.999999999998899e-05,,0,0
EURUSD,2019.08.08 03:15:00,1.12093,178,0.0003900000000001125,0,,0,0
EURUSD,2019.08.08 03:00:00,1.12071,179,9.999999999998899e-05,5.999999999994898e-05,,0,0
EURUSD,2019.08.08 02:45:00,1.12035,180,0,0,,7.00000000000145e-05,0.0001500000000000945
EURUSD,2019.08.08 02:30:00,1.12048,181,6.000000000017103e-05,2.999999999997449e-05,,0,0
EURUSD,2019.08.08 02:15:00,1.12011,182,0,0,,2.999999999997449e-05,7.00000000000145e-05
EURUSD,2019.08.08 02:00:00,1.12022,183,0,0,,0.0001299999999999635,0.0001299999999999635
EURUSD,2019.08.08 01:45:00,1.12044,184,7.999999999985796e-05,1.999999999990898e-05,,0,0
EURUSD,2019.08.08 01:30:00,1.12038,185,0.000220000000000109,0,,0,0
EURUSD,2019.08.08 01:15:00,1.12035,186,0,0,,4.000000000004e-05,7.00000000000145e-05
EURUSD,2019.08.08 01:00:00,1.12036,187,2.999999999997449e-05,8.999999999992347e-05,,0,0
EURUSD,2019.08.08 00:45:00,1.12007,188,0,0,,8.999999999992347e-05,0.0001899999999999125
